classes	frequency
Knight of Honor’s Ember	5
Deathtouched Survivor	2
Wingman	11
Grandmaster Knight of Honor’s Flame	2
Paladin of Fire’s Oath	5
Knight of the Glittering Blade	2
Indomitable Knight-Warden	3
Pyre-Knight of Glory	3
Knight-Artisan of Bones	4
Magical Knight-Seeker of Mershi	1
Spell Knight of Mercy	2
Knight of Death and Dawn	1
Knight-Archer of Lost Flames	2
Worldtraveller Inkfriend	3
Clandestine Spy	1
Spy of the Captured Moment	6
Doorgnoll	19
Wall Lord of a Thousand Exchanges, Coin and Sword	1
Crossbow Speed Hunter	1
Vampire Hunter	4
Driver	314
Alchemist	1533
Bird Hunter	42
Bow-Warden of the Songbird	3
Queen	494
Antinium Queen	3
Queen of Freedom	3
Bow-Singer Queen of the Free Antinium	3
Amazing Liar	3
Flower of Izril, Lady of the Dragon’s Promise	3
Virtuous King, Arm of Giants	1
Fist of the Living World	4
Reader	27
Seeker	3
Djinn’s Legacy Seeker	2
Sariantfriend	8
Conditions Met: Deathbane Necromancer → Necromancer of Reclaimed Grandeur	1
Necromancer of Reclaimed Grandeur	3
Duelist of Wistram	4
Antinium Explorer	3
Ultimate Supporter	27
The Wandering Innkeeper	29
Princess of the Inn	12
Graduate Battlemage	1
Overlands Adventurer	2
Troublemaker	2
Alchemiaform Oldblood, Grand Alchemist of War	1
Class Change: Prankster -> Trickster of Crowns	1
Trickster of Crowns	3
Mathematician of the Fundament	1
Nemesis of Goblins, Ranger of Renown	4
Farm Lady	1
Emperor of Farmlands	3
Outworld Translator	2
Witch of Malice	1
Aerial Flier	8
Scribblequill Student	5
Druid of the Lucky World, Child of Omens; Ember of the Eternal Solstice	2
Last Survivor	16
Gearhead Cyclist	4
Indomitable Champion	5
Supreme Chevalier of…	1
Conditions Overridden: Goblin Lord	1
Goblin Lord	3
Goblin Lord {Unaffiliated} – “Rabbiteater of Champions”,	1
Financier of Fortunes	4
Relicbound Arctic Cryomancer	1
Half-Elf	1
Boreal Half-Elf Species	1
Witch of Remorse	2
Fatebreaker Child class created	1
Fatebreaker Child	13
Thronebearer of Wards	3
Thronebearer of the 6th Princess	1
Student of Grandmasters	3
General of Will, Wardchild of the Savior	1
Golem-Lord of Enduring Dignity	1
Survivor of Trials	2
Blademaster of the Crimson Field	1
Blademaster, the Path of Legends	2
Fighter Pilot	50
Skeleton Warrior	10
Skeleton Knight	16
Clown	233
Hero	426
captain	1259
scout	455
lord	2074
soldier	3136
farmer	750
blacksmith	293
diplomat	311
butler	263
hunter	501
butcher	72
rider	498
maid	546
archmage	277
runner	39
lady	2073
vanguard	82
ranger	72
actor	483
writer	59
lieutenant	150
fighter	31
hydromancer	36
geomancer	80
bartender	150
shopkeeper	292
trader	261
sorcerer	65
bandit	765
rogue	493
tailor	59
merchant	969
thief	624
sergeant	425
priest	205
fencer	111
enchanter	329
thug	239
carpenter	115
engineer	189
shepherd	51
seamstress	46
storyteller	40
painter	135
florist	39
admiral	172
empress	159
prince	418
blademaster	267
cryomancer	155
illusionist	111
historian	94
pyromancer	65
sailor	572
beast master	34
raider	210
mayor	177
servant	191
clerk	38
architect	127
builder	123
steward	290
bandit lord	71
bandit lady	82
squire	83
spy	120
lancer	35
chevalier	57
seer	33
wizard	97
server	123
pirate	929
fistfighter	34
brawler	34
scribe	210
grandmaster	32
spymaster	70
martial artist	524
chamberlain	53
majordomo	56
diviner	33
chronomancer	51
fool	36
messenger	82
earl	45
first mate	65
headman	39
major	150
bodyguard	133
smith	435
armorer	70
sniper	108
magician	43
senator	132
commentator	35
beast trainer	34
fist fighter	31
rower	58
artist	33
pickpocket	31
harbormistress	31
tattooist	41
secretary	126
infiltrator	39
councilor	46
scholar	31
manager	55
teacher	37
waitress	39
traveller	35
administrator	57
executioner	32
nightstalker	82
enforcer	155
blackguard	36
sage	89
artificer	73
witch hunter	80
reporter	102
baron	37
veteran	56
bowman	41
spellscribe	53
armsmistress	189
barbarian	34
naturalist	47
explorer	48
swashbuckler	42
trapmaster	41
popstar	62
beautician	41
student	143
journalist	51
monk	135
courtesan	36
magistrate	37
mathematician	134
paragon	175
vizir	59
pillager	32
blademistress	38
abbot	34
soothsayer	47
supporter	125
goblin slayer	57
apostle	33
